00000|"Демократия неумолимо продвигается по Африке, и ""арабская весна"" была ее кульминацией."|"Демократия неумолимо продвигается по Африке, и ""арабская весна"" была ее кульминацией."
00001|Доклад Международного агентства по атомной энергии.|Доклад Международного агентства по атомной энергии.
00002|Мы разъясняем им их права и законы.|Мы разъясняем им их права и законы.
00003|Только что завершилось председательство Литвы в Сообществе демократий.|Только что завершилось председательство Литвы в Сообществе демократий.
00004|Весь буфет до последнего человека разом ввалился в залу.|Весь буфет до последнего человека разом ввалился в залу.
00005|В развитии континента достигнут значительный прогресс.|В развитии континента достигнут значительный прогресс.
00006|Это позволит спасти еще больше жизней в предстоящие годы.|Это позволит спасти еще больше жизней в предстоящие годы.
00007|В Бангладеш каждый год в первую субботу ноября мы отмечаем Национальный день кооперативов.|В Бангладеш каждый год в первую субботу ноября мы отмечаем Национальный день кооперативов.
00008|Мы должны заложить политический фундамент для развития на основе сотрудничества.|Мы должны заложить политический фундамент для развития на основе сотрудничества.
00009|Как руководители стран мира мы должны остановиться, задуматься и дать людям ответ.|Как руководители стран мира мы должны остановиться, задуматься и дать людям ответ.
00010|Слово имеет посол Эквадора Альфонсо Моралес.|Слово имеет посол Эквадора Альфонсо Моралес.
00011|Вот это уж наши поля пошли.|Вот это уж наши поля пошли.
00012|"– ""Изволь, государь; только девка-то не сможет встать и придти к твоей милости""."|"– ""Изволь, государь; только девка-то не сможет встать и придти к твоей милости""."
00013|Такую принципиальную позицию занимают государства-члены этого органа.|Такую принципиальную позицию занимают государства-члены этого органа.
00014|В соответствии с правилами процедуры мы должны продолжить серию ограниченных голосований.|В соответствии с правилами процедуры мы должны продолжить серию ограниченных голосований.
00015|Но Савельича мудрено было унять, когда, бывало, примется за проповедь.|Но Савельича мудрено было унять, когда, бывало, примется за проповедь.
00016|Шестой комитет принял проект решения без голосования.|Шестой комитет принял проект решения без голосования.
00017|Вместе с тем по мере продвижения вперед мы видим возможность их применения на практике.|Вместе с тем по мере продвижения вперед мы видим возможность их применения на практике.
00018|Эта политика привела к ряду существенных улучшений в секторе здравоохранения.|Эта политика привела к ряду существенных улучшений в секторе здравоохранения.
00019|На международной арене происходят тектонические изменения.|На международной арене происходят тектонические изменения.
00020|Липутин даже расстегнулся, до того ему было жарко.|Липутин даже расстегнулся, до того ему было жарко.
00021|Во-первых, в работе Комиссии в Либерии четко прослеживается принцип национальной ответственности.|Во-первых, в работе Комиссии в Либерии четко прослеживается принцип национальной ответственности.
00022|А вот на что.|А вот на что.
00023|Эта принудительная мера является нарушением международного права и Женевских конвенций.|Эта принудительная мера является нарушением международного права и Женевских конвенций.
00024|И неудержимая радость и оживление сияли на ее лице.|И неудержимая радость и оживление сияли на ее лице.
00025|Ливийский народ способен определять свое собственное будущее, и мы должны уважать его выбор.|Ливийский народ способен определять свое собственное будущее, и мы должны уважать его выбор.
00026|Ярким примером в этом плане может служить сближение биологии и химии.|Ярким примером в этом плане может служить сближение биологии и химии.
00027|И наконец, есть и вариант приростных изменений, что тоже имеет своих оппонентов.|И наконец, есть и вариант приростных изменений, что тоже имеет своих оппонентов.
00028|Возможно, она вырастет здоровой и крепкой, а возможно, и нет.|Возможно, она вырастет здоровой и крепкой, а возможно, и нет.
00029|Присоединитесь к нам на ужин?|Присоединитесь к нам на ужин?
00030|Первопричина кризиса в нашем регионе очень проста и понятна.|Первопричина кризиса в нашем регионе очень проста и понятна.
00031|Именно так мы и поступили, создав Сообщество государств Латинской Америки и Карибского бассейна.|Именно так мы и поступили, создав Сообщество государств Латинской Америки и Карибского бассейна.
00032|Доступ к пострадавшим, в частности для медицинского персонала, должен быть гарантирован при любых обстоятельствах.|Доступ к пострадавшим, в частности для медицинского персонала, должен быть гарантирован при любых обстоятельствах.
00033|Ты именно теперь в состоянии оценить всю важность его.|Ты именно теперь в состоянии оценить всю важность его.
00034|Мы знаем, что существуют и другие проблемы, такие как глобальный экономический кризис.|Мы знаем, что существуют и другие проблемы, такие как глобальный экономический кризис.
00035|Уж я от Стивы получил записочку, что вы тут.|Уж я от Стивы получил записочку, что вы тут.
00036|Наши сегодняшние обсуждения посвящены работе Совета по правам человека за последний отчетный период.|Наши сегодняшние обсуждения посвящены работе Совета по правам человека за последний отчетный период.
00037|Борьба с неравенством должна быть ключевым элементом всех наших стратегий в этой области.|Борьба с неравенством должна быть ключевым элементом всех наших стратегий в этой области.
00038|Необходимо укрепить координацию национальных экономических стратегий.|Необходимо укрепить координацию национальных экономических стратегий.
00039|Результаты процесса обзора оказались благоприятными для развивающихся стран.|Результаты процесса обзора оказались благоприятными для развивающихся стран.
00040|Мы были свободны не всегда.|Мы были свободны не всегда.
00041|Простите нас с нашим конем, что мы Вам тут.|Простите нас с нашим конем, что мы Вам тут.
00042|Наша система не является совершенной, и перед нами стоит много вопросов, которые предстоит решить.|Наша система не является совершенной, и перед нами стоит много вопросов, которые предстоит решить.
00043|Ливия Каддафи председательствовала в Комиссии по правам человека.|Ливия Каддафи председательствовала в Комиссии по правам человека.
00044|И представьте себе умонастроения рабовладельцев, создавших такую систему: их жестокость, надменность, алчность и бесчеловечность.|И представьте себе умонастроения рабовладельцев, создавших такую систему: их жестокость, надменность, алчность и бесчеловечность.
00045|Поскольку этот день совпадает со Страстной Пятницей, заседаний в тот день проводиться не будет.|Поскольку этот день совпадает со Страстной Пятницей, заседаний в тот день проводиться не будет.
00046|Я знаю, что это значит.|Я знаю, что это значит.
00047|Первоначально созданные структуры нас игнорируют.|Первоначально созданные структуры нас игнорируют.
00048|Наличие аппаратного ускорения в виде графической карты приветствуется|Наличие аппаратного ускорения в виде графической карты приветствуется
00049|Миротворчество представляет собой одно из наиболее заметных направлений деятельности Организации Объединенных Наций.|Миротворчество представляет собой одно из наиболее заметных направлений деятельности Организации Объединенных Наций.
00050|Для этого необходимо, чтобы наши углубленные дискуссии проходили в духе подлинного и конструктивного сотрудничества.|Для этого необходимо, чтобы наши углубленные дискуссии проходили в духе подлинного и конструктивного сотрудничества.
00051|– Как нельзя? – покраснев, спросил Коля.|– Как нельзя? – покраснев, спросил Коля.
00052|Я преисполнена решимости добиваться урегулированию всех наших проблем с соседней Индии посредством обсуждения.|Я преисполнена решимости добиваться урегулированию всех наших проблем с соседней Индии посредством обсуждения.
00053|И особую озабоченность вызывает тот тупик, в котором мы сегодня находимся.|И особую озабоченность вызывает тот тупик, в котором мы сегодня находимся.
00054|Мы твердо верим в правильность выбранных нами решений существующих проблем.|Мы твердо верим в правильность выбранных нами решений существующих проблем.
00055|Сейчас Ассамблея заслушает выступление президента Французской Республики господина Николя Саркози.|Сейчас Ассамблея заслушает выступление президента Французской Республики господина Николя Саркози.
00056|В этой связи мы приветствуем акцент на превентивной дипломатии.|В этой связи мы приветствуем акцент на превентивной дипломатии.
00057|Намерены подробно информировать Конференцию по разоружению о работе группы.|Намерены подробно информировать Конференцию по разоружению о работе группы.
00058|Усилия Китая в области спорта также находятся на новом решающем этапе.|Усилия Китая в области спорта также находятся на новом решающем этапе.
00059|Мы также обеспечиваем бесплатное лечение детей от раковых заболеваний.|Мы также обеспечиваем бесплатное лечение детей от раковых заболеваний.
00060|Следует поощрять диалог между сирийцами.|Следует поощрять диалог между сирийцами.
00061|Пожалуйста, Австралия, вам слово.|Пожалуйста, Австралия, вам слово.
00062|К счастью, в последнем мы наблюдаем некоторый прогресс.|К счастью, в последнем мы наблюдаем некоторый прогресс.
00063|И так, оба не высказав своего мнения, они разошлись.|И так, оба не высказав своего мнения, они разошлись.
00064|А сейчас слово имеет посол Бразилии Валлин Геррейру.|А сейчас слово имеет посол Бразилии Валлин Геррейру.
